DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1,toc
3670.5,138.043,95.615,6.102,70.096,2.707,0.36
3670.625,138.535,93.724,6.322,70.281,2.702,0.36
3671.375,132.933,96.693,5.807,70.12,2.703,0.61
3671.5,134.68,98.652,5.603,69.886,2.705,0.61
3675.75,143.022,122.607,2.927,73.248,2.731,0.48
3676.875,139.197,104.876,5.385,72.915,2.712,0.57
3677.75,130.155,108.425,4.983,74.54,2.73,0.36
3678.5,139.861,105.404,5.341,75.179,2.714,0.46
3679.75,147.848,107.116,5.884,75.063,2.693,0.62
3680.875,142.086,115.508,5.11,74.883,2.721,0.73
3681,139.595,106.613,6.064,74.927,2.718,0.73
3684.25,133.593,104.462,4.16,67.769,2.713,0.13
3684.75,137.617,113.741,2.516,67.453,2.687,0.31
3687.875,143.13,113.882,3.435,69.866,2.69,0.46
3688,141.185,115.112,3.497,70.18,2.693,0.46
3688.5,135.287,110.602,4.715,69.631,2.732,0.4
3692.5,138.385,104.145,4.918,71.636,2.718,0.36
3693.25,152.559,116.124,4.785,71.526,2.694,0.52
3694,150.409,105.393,5.865,70.417,2.714,0.51
3697.25,151.739,124.476,3.946,70.269,2.717,0.64
3697.375,151.016,127.817,3.225,69.837,2.708,0.64
3702.875,153.206,113.016,6.514,77.435,2.689,1.21
3703.625,177.64,111.35,9.267,78.245,2.664,2.45
3703.75,180.17,114.174,9.474,78.577,2.666,2.45
3704.75,182.623,124.414,9.388,76.876,2.667,2.61
3707.625,195.642,108.355,12.087,78.385,2.727,2.94
3708.125,164.165,93.928,9.628,73.505,2.658,2.79
3709.125,159.684,105.37,9.078,69.583,2.674,2.6
3719.75,162.09,120.503,6.503,75.006,2.676,1.49
3724.625,147.589,90.053,8.554,73.016,2.689,2.41
3724.75,147.904,92.303,8.347,73.024,2.694,2.41
3725.5,111.026,83.286,7.054,66.689,2.702,1.55
3728.75,151.596,106.227,7.165,68.507,2.65,1.7
3728.875,154.778,107.991,7.087,68.253,2.65,1.7
3729.375,160.147,106.645,7.123,67.534,2.651,1.86
3729.5,158.963,105.188,7.349,67.458,2.654,1.86
3730.75,144.818,96.73,8.475,68.723,2.654,2.33
3731.5,143.098,93.178,8.469,69.514,2.617,2.27
3733.375,136.8,89.021,8.418,68.294,2.605,2.61
3737.25,148.37,90.39,9.754,63.704,2.613,3.07
3737.375,147.682,93.627,9.174,63.716,2.618,3.07
3738.25,149.917,100.75,8.386,64.827,2.617,2.31
3744.125,152.404,110.723,7.381,66.814,2.669,1.87
3746,146.848,105.684,7.654,67.897,2.656,2.11
3747.125,144.722,97.719,8.643,69.379,2.662,2.21
3751.5,204.349,98.177,15.846,67.655,2.589,4.63
3753.875,200.269,65.595,21.587,63.962,2.538,4.77
3754,206.542,65.382,23.19,64.268,2.542,4.77
3757.25,130.275,64.815,9.929,58.828,2.583,3.1
3757.625,125.203,62.607,9.414,58.596,2.632,3.05
3759.875,142.264,81.757,9.173,59.295,2.584,3.01
